datetime,portfolio_value,cash,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,
2023-12-16 09:30:00-05:00,100016.9603881836,50251.021423339844,0.00016960388183595576
2023-12-18 09:30:00-05:00,100218.99638818359,50453.057423339844,0.0020200173972080293
2023-12-19 09:30:00-05:00,100376.93858789062,50453.057423339844,0.00157597067820614
2023-12-20 09:30:00-05:00,100541.2372939453,50453.057423339844,0.0016368172646630264
2023-12-21 09:30:00-05:00,100692.81651757812,50453.057423339844,0.0015076323676985748
2023-12-22 09:30:00-05:00,100414.036,50453.057423339844,-0.0027686236935229314
2023-12-23 09:30:00-05:00,100682.21587060546,50453.057423339844,0.0026707408773556374
2023-12-26 09:30:00-05:00,100682.21587060546,50453.057423339844,0.0
2023-12-27 09:30:00-05:00,100704.47819970702,50453.057423339844,0.0002211148106847638
2023-12-28 09:30:00-05:00,100849.6976821289,50453.057423339844,0.0014420359950020334
2023-12-29 09:30:00-05:00,101002.33794091796,50453.057423339844,0.0015135420561216417
2023-12-30 09:30:00-05:00,100960.99638818359,50453.057423339844,-0.00040931282955603
